x,y,ec
777852.7045,3589067.375,138.41
779843.5872,3589469.776,243.09
781270.0587,3589750.284,227.24
780612.9434,3588611.627,182.49
783887.1854,3589697.106,5.67
783971.4323,3589802.003,36.03
784937.4477,3590256.962,36.07
785420.4396,3589683.144,14.83
784937.3947,3588654.371,31.90
785527.0686,3587786.052,5.62
786335.8346,3587831.499,27.75
786526.7831,3587641.902,13.95
776210.1964,3591568.956,157.70
775154.4504,3592711.353,134.78
775513.8483,3592731.575,139.89
776192.3961,3593912.787,184.41
777754.4605,3594560.235,209.40
777894.8861,3593666.767,226.79
778164.4445,3593681.937,167.43
779018.0253,3594531.208,227.06
779034.9235,3592629.233,225.38
778288.0212,3591485.529,205.87
777782.5948,3590856.188,149.91
778928.0437,3586513.861,124.06
780826.0877,3584817.69,36.89
782224.403,3583994.794,27.00
783667.9134,3585578.228,239.34
784240.8535,3586612.01,6.20
784544.1997,3587630.66,208.86
786680.8703,3585235.557,231.04
785835.6448,3583897.051,5.32
785605.2904,3583182.985,222.37
786598.9295,3579933.374,12.31
786070.9468,3579703.438,16.17
787704.8896,3581537.42,88.39
790356.5153,3580444.619,14.07
791637.3378,3581718.501,64.52
793474.2074,3582723.116,100.99
792502.9136,3587176.337,0.91
788874.2309,3584368.136,161.88
789548.5436,3588412.707,1.78
788065.7024,3587528.044,2.82
785948.4131,3591515.766,0.33
787121.0381,3578660.528,6.49
790921.288,3578779.55,21.55
790061.2728,3575914.528,57.94
788451.2025,3574227.674,7.02
780151.1106,3577568.69,14.27
777780.9926,3576434.336,46.50
776657.6637,3575570.198,5.68
778072.5645,3574447.664,22.35
777130.6796,3583208.078,20.94
773375.8002,3583753.761,72.98
772498.2841,3588656.263,22.17
772645.6563,3590936.822,35.93
768258.7337,3587116.16,9.22
782432.5584,3594723.414,28.66
782539.2769,3594428.945,41.19
783746.7823,3593795.787,20.47
783988.2656,3594310.182,42.60
788863.3473,3594339.216,1.66
791739.1755,3592743.019,9.26
792317.7009,3593677.119,2.32
792873.7361,3595010.663,1.89
794564.5027,3593803.554,1.30
794289.2855,3592285.439,1.59
795648.5576,3595367.217,5.84
796120.4187,3594993.069,98.76
796659.7191,3593420.568,39.65
798075.2733,3593900.941,3.10
798881.9917,3591147.843,27.89
798726.8273,3588728.187,65.46
797294.3921,3588547.503,82.12
796266.4625,3589190.976,1.74
796401.3047,3589999.977,27.94
795508.0968,3588246.762,1.11
794238.0194,3581964.59,42.21
796164.829,3582974.291,52.10
797243.3476,3583034.82,113.96
798541.0701,3584009.272,43.16
799855.6253,3584684.157,14.98
799670.406,3586376.849,66.53
796619.8827,3585630.415,59.03
796075.7785,3580048.387,63.25
793142.2255,3578998.116,34.31
791856.0302,3579426.853,35.66
798478.4772,3578696.237,0.00
798568.0372,3577098.388,23.27
799118.5065,3576928.875,16.32
799752.9034,3575261.351,12.15
799140.5224,3574926.51,32.07
797691.2717,3575045.696,14.56
796270.388,3576268.398,31.47
795877.3108,3576847.427,58.97
792787.6256,3576801.132,49.52
792978.4594,3574852.233,46.59
787125.5835,3573752.784,130.15
776529.9172,3584275.999,62.33
773205.6453,3585691.669,115.89
774165.9304,3586246.339,0.11
772048.9743,3587028.709,13.49
771026.9193,3585969.861,111.97
770441.0074,3588772.192,3.20
769511.0181,3590491.155,3.68
769819.857,3591409.791,3.11
770089.3853,3591424.952,25.60
768343.0813,3592027.696,18.34
768831.5778,3592956.436,1.33
768443.9102,3585424.211,6.94
767916.3294,3590000.921,42.29
767270.6105,3590265.024,3.52
764929.2093,3590233.49,33.24
765221.1718,3589849.371,0.00
766675.1422,3584824.186,3.53
768752.5128,3583138.356,5.26
769561.0912,3583183.746,57.26
778590.529,3581286.982,161.07
776843.8782,3580287.641,2.90
776382.3611,3580674.937,4.90
776091.4658,3580846.327,38.47
774024.9268,3580730.395,8.64
773502.6401,3580400.66,136.54
773794.8209,3581618.794,84.00
776607.6369,3578071.113,134.09
777292.5631,3577108.013,34.82
775077.5019,3575972.027,11.06
774310.7073,3577241.326,3.67
769454.2428,3581875.936,6.58
768975.5503,3578527.727,113.71
769110.8612,3576749.6,3.79
770767.2003,3576141.448,59.98
771598.5101,3577389.732,74.73
769301.0026,3573355.555,46.08
769346.1204,3574159.187,1.99
766448.8507,3574397.451,3.03
767527.2845,3576060.032,1.61
765298.4239,3577236.862,42.88
766342.906,3577896.217,1.55
780640.1524,3580099.966,2.99
783808.0599,3583082.109,6.76
781960.8642,3591892.436,4.54
780146.8557,3593693.35,249.66
779933.2215,3591266.055,259.84
784647.7909,3586633.477,17.24
781546.1062,3585272.733,62.07
781491.9365,3588422.413,19.07
777897.721,3588137.387,11.57
775521.9243,3590923.937,9.41
778611.6995,3583892.989,6.33
777781.7965,3582291.437,8.28
781494.8549,3576425.225,6.47
786095.3321,3574439.359,9.28
785048.2871,3581174.776,9.31
794033.8555,3584424.705,70.86
